AAL,American Airlines Group
ABT,Abbott Laboratories
AXP,American Express Co
BA,Boeing Co
CAT,Caterpillar Inc
CSCO,Cisco Systems Inc
CVX,Chevron Corp
PCG,PG&E Corporation
HD,Home Depot Inc
HON,Honeywell International Inc
IBM,International Business Machines Corp
INTC,Intel Corp
JNJ,Johnson & Johnson
KO,Coca-Cola Co
JPM,JPMorgan Chase & Co
MCD,McDonald’s Corp
MMM,3M Co
MSFT,Microsoft Corp
NKE,Nike Inc
PG,Procter & Gamble Co
UNH,UnitedHealth Group Inc
CRM,Salesforce Inc
VZ,Verizon Communications Inc
V,Visa Inc
NUE,Nucor Corporation
WMT,Walmart Inc
DIS,Walt Disney Co
MAR,"Marriott International, Inc."
TSLA,"Tesla, Inc."
GM,General Motors Company
